stim,leak_rate,N_x,RMSE,NRMSE,csv_seed,reservoir_seed
10-5,0.7,400,0.15101567126482876,0.8246680098013447,136,722
10-5,0.7,600,0.14548880964041772,0.794486864109136,136,722
10-5,0.7,800,0.14727601892964692,0.804246475911692,136,722
10-5,0.7,1000,0.14823501984847165,0.8094833984939712,136,722
10-5,0.7,1200,0.14547380652056044,0.7944049349100676,136,722
10-5,0.9,400,0.15673963848555972,0.8559255118642295,136,722
10-5,0.9,600,0.15121072303179417,0.8257331505984843,136,722
10-5,0.9,800,0.15008990468270142,0.819612573644095,136,722
10-5,0.9,1000,0.15039101238651095,0.8212568658473922,136,722
10-5,0.9,1200,0.14938927770672844,0.8157865822814135,136,722
10-5,0.1,400,0.06520686317248885,0.3560823431598971,136,723
10-5,0.1,600,0.08251418356821706,0.45059434543223026,136,723
10-5,0.1,800,0.057404736434718766,0.3134764051458785,136,723
10-5,0.1,1000,0.08416505255981888,0.4596094286639537,136,723
10-5,0.1,1200,0.0716724116184927,0.3913894799926688,136,723
10-5,0.3,400,0.14270326785428766,0.779275547417652,136,723
10-5,0.3,600,0.12818805302697883,0.700010705410069,136,723
10-5,0.3,800,0.12533660415446768,0.6844394825889596,136,723
10-5,0.3,1000,0.12466907964506777,0.6807942575335076,136,723
10-5,0.3,1200,0.11503573701331016,0.628188395974051,136,723
10-5,0.5,400,0.14674902480738589,0.8013686607131627,136,723
10-5,0.5,600,0.144168346891613,0.787276066859068,136,723
10-5,0.5,800,0.14321699885582576,0.7820809352231912,136,723
10-5,0.5,1000,0.1438801012487317,0.7857020119370992,136,723
10-5,0.5,1200,0.14095603866915213,0.7697342593996307,136,723
10-5,0.7,400,0.1513394023804933,0.8264358441766106,136,723
10-5,0.7,600,0.14669567498006986,0.8010773273995571,136,723
10-5,0.7,800,0.14560652317472947,0.7951296754495387,136,723
10-5,0.7,1000,0.14725162702390415,0.8041132763291872,136,723
10-5,0.7,1200,0.14529246754178407,0.7934146770548767,136,723
10-5,0.9,400,0.15723994258720086,0.8586575779096953,136,723
10-5,0.9,600,0.1525794965125415,0.8332077636156807,136,723
10-5,0.9,800,0.14987060203059768,0.8184150033512915,136,723
10-5,0.9,1000,0.1514105594084064,0.8268244192436948,136,723
10-5,0.9,1200,0.14729873061592336,0.8043705001335754,136,723
10-5,0.1,400,0.07263981029552631,0.3966722611437371,136,724
10-5,0.1,600,0.07908416857720546,0.4318636824981438,136,724
10-5,0.1,800,0.06421419487755854,0.3506615694063077,136,724
10-5,0.1,1000,0.07399512554708204,0.4040733813175093,136,724
10-5,0.1,1200,0.09207559647505963,0.5028074123724634,136,724
10-5,0.3,400,0.1365040593563682,0.7454228426519481,136,724
10-5,0.3,600,0.14204880447071055,0.7757016466992562,136,724
10-5,0.3,800,0.11794678551368745,0.6440850810871571,136,724
10-5,0.3,1000,0.12411317741229533,0.6777585806126626,136,724
